id,out_duration,return_duration,out_time,return_time,out_stops,out_airline,price,scraped_time
3773,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 13:24:38
3774,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,863.0,2024-12-17 12:27:34
3775,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,862.0,2024-12-17 12:27:34
3776,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 11:11:38
3777,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 11:11:38
3778,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 10:15:05
3779,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 10:15:05
3780,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 09:15:00
3781,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 09:15:00
3782,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 08:18:59
3783,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 08:18:59
3784,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,856.0,2024-12-17 07:14:43
3785,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,856.0,2024-12-17 07:14:43
3786,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,856.0,2024-12-17 07:14:43
3787,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 06:19:41
3788,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 06:19:41
3789,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 05:13:51
3790,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 05:13:51
3791,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 04:17:20
3792,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 04:17:20
3793,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-17 03:34:14
3794,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-17 03:34:14
3795,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,863.0,2024-12-17 02:58:12
3796,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,862.0,2024-12-17 02:58:12
3797,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,863.0,2024-12-17 01:06:09
3798,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,862.0,2024-12-17 01:06:09
3799,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 23:13:13
3800,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 23:13:13
3801,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 22:11:49
3802,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 22:11:49
3803,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 21:13:09
3804,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 21:13:09
3805,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,863.0,2024-12-16 20:15:28
3806,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,862.0,2024-12-16 20:15:28
3807,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 19:11:25
3808,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 19:11:25
3809,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 18:19:13
3810,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 18:19:13
3811,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 17:12:37
3812,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 17:12:37
3813,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 16:17:24
3814,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 16:17:24
3815,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 15:14:50
3816,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 15:14:50
3817,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 14:13:39
3818,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 14:13:39
3819,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 13:24:45
3820,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 13:24:45
3821,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,863.0,2024-12-16 12:28:20
3822,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,862.0,2024-12-16 12:28:20
3823,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 11:12:28
3824,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 11:12:28
3825,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 10:15:39
3826,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 10:15:39
3827,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,863.0,2024-12-16 09:16:01
3828,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,863.0,2024-12-16 09:16:01
3829,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 08:20:26
3830,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 08:20:26
3831,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 07:14:52
3832,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 07:14:52
3833,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 06:20:31
3834,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 06:20:31
3835,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,858.0,2024-12-16 05:15:01
3836,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,858.0,2024-12-16 05:15:01
3837,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 04:17:06
3838,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 04:17:06
3839,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-16 03:02:44
3840,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-16 03:02:44
3841,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,861.0,2024-12-16 01:08:45
3842,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,861.0,2024-12-16 01:08:45
3843,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-15 23:13:18
3844,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-15 23:13:18
3845,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,853.0,2024-12-15 22:12:43
3846,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,853.0,2024-12-15 22:12:43
3847,6h 45min,7h 20min,13:35 – 23:20,00:40 – 06:00,direct,Air France,863.0,2024-12-15 21:12:05
3848,6h 40min,7h 20min,"23:20 – 09:00
+1",00:40 – 06:00,direct,Air France,863.0,2024-12-15 21:12:05
